The Actual Specification,The Lower of Computing Resource (GHz),The Upper of Computing Resource (GHz),The Bandwidth (Gbps),Price (per hour)
ecs.ebmr6.26xlarge,5.0000000,5.0000000,32.0000000,53.0400000
ecs.r7.large,2.5500000,3.5000000,10.0000000,0.9529090
ecs.r7.4xlarge,2.5500000,3.5000000,25.0000000,7.6232770
ecs.r7.16xlarge,2.5500000,3.5000000,32.0000000,30.4931100
